Player Name,Age,Positions,Team,Salary,TOI Org ES,TOI Org PP,TOI Org PK,GP Org,GP,TOI ES,TOI PP,TOI PK,Total TOI,Goals,Assists,Points,PPG,PPA,PP Points,SHG,SHA,SHP,Hits,BLK,PIM,FOW,FOL,SOG,"""+/-""",VOR,Rank,Unadj VOR,FP Unadj,PlayerId,Fantasy Team,,
Connor McDavid,29,C,EDM,"$12,500,000",18.65,3.50,0.23,77,77,18.65,3.50,0.23,22.38,36,91,127,10,36,46,0,0,0,66,32,28,430,450,239,32,1060,2,1411,790,8478402,,,Use the button below to reset the TOI for the Skater Projections
Nathan MacKinnon,30,C,COL,"$12,600,000",18.69,3.68,0.06,80,80,18.69,3.68,0.06,22.43,39,76,115,9,26,35,0,0,0,44,61,32,687,720,313,26,1040,3,1391,941,8477492,,,
Nikita Kucherov,32,RW,TB,"$9,500,000",17.30,3.59,0.01,78,78,17.30,3.59,0.01,20.90,34,80,114,8,35,43,0,0,0,32,34,30,1,1,244,16,929,4,1233,549,8476453,,,
Leon Draisaitl,30,"C,LW",EDM,"$14,000,000",18.14,3.40,0.19,78,78,18.14,3.40,0.19,21.73,46,64,110,19,21,40,0,0,0,38,33,36,701,586,227,28,915,5,1215,831,8477934,,,
David Pastrnak,29,RW,BOS,"$11,250,000",16.49,3.30,0.03,82,82,16.49,3.30,0.03,19.83,45,54,99,11,18,29,0,0,0,65,26,32,4,7,315,11,853,6,1157,580,8477956,,,
Kirill Kaprizov,28,LW,MIN,"$9,000,000",18.85,3.65,0.02,77,77,18.85,3.65,0.02,22.51,46,52,98,16,20,36,0,0,0,43,37,31,0,3,265,15,828,7,1127,543,8478864,,,
Jack Hughes,24,"C,LW",NJ,"$8,000,000",17.23,3.22,0.60,77,77,17.23,3.22,0.60,21.04,36,60,96,9,27,36,0,1,1,12,38,13,267,449,285,10,651,16,951,702,8481559,,,
Artemi Panarin,34,LW,NYR,"$11,642,857",16.25,2.98,0.01,79,79,16.25,2.98,0.01,19.25,35,58,93,8,23,31,0,0,0,20,13,21,1,3,223,2,451,43,751,461,8478550,,,
Mitch Marner,28,RW,VGK,"$12,000,000",16.16,2.89,2.09,78,78,16.16,2.89,2.09,21.14,26,65,91,6,23,29,2,1,3,51,48,19,6,13,162,11,404,51,708,421,8478483,,,Use the button below to reset the GP for the Skater Projections
Auston Matthews,28,C,TOR,"$13,250,000",16.04,2.92,1.28,78,78,16.04,2.92,1.28,20.24,48,41,89,14,12,26,1,0,1,63,95,16,655,504,300,15,746,12,1097,846,8479318,,,
William Nylander,29,"C,RW",TOR,"$11,500,000",16.00,3.07,0.23,82,82,16.00,3.07,0.23,19.30,38,48,86,9,19,28,0,0,0,18,29,21,68,71,248,-1,448,44,752,504,8477939,,,
Jason Robertson,26,"LW,RW",DAL,"$7,750,000",15.02,2.96,0.00,82,82,15.02,2.96,0.00,17.98,34,51,85,11,19,30,0,0,0,62,38,18,5,9,215,10,478,33,778,464,8480027,,,
