Player Name,Age,Team,Positions,Salary,TOI Org ES,TOI Org PP,TOI Org PK,GP Org,GP,TOI ES,TOI PP,TOI PK,Total TOI,G,A,P,PPG,PPA,PPP,SHG,SHA,SHP,Hit,BLK,PIM,FOW,FOL,SOG,#ERROR!,VOR,Rank,Unadj VOR,FP,PlayerId,Fantasy Team,Injured GP,
Connor McDavid,29,EDM,C,"$12,500,000",,,,77,67,18.31,3.27,0.45,22.03,27,74,101,8,29,37,0,1,1,39,27,21,334,371,198,21,1173,4,1553,540,8478402,,66.7,66.7
Nathan MacKinnon,30,COL,C,"$12,600,000",,,,80,69,17.48,4.08,0.05,21.61,35,65,100,9,24,33,0,0,0,53,48,32,697,662,269,29,1466,1,1846,688,8477492,,69.3,69.3
Nikita Kucherov,32,TBL,RW,"$9,500,000",,,,78,68,16.79,3.72,0.01,20.52,29,66,95,7,31,38,0,0,0,27,27,26,0,0,207,6,1204,2,1516,485,8476453,,68.5,68.5
Leon Draisaitl,30,EDM,"C,LW","$14,000,000",,,,78,68,17.6,3.28,0.42,21.3,35,53,88,16,17,33,0,1,1,32,24,27,560,377,186,19,1006,7,1326,562,8477934,,67.5,67.5
Jack Hughes,24,NJD,"C,LW","$8,000,000",,,,77,68,16.46,3.26,0.7,20.42,36,50,86,8,24,32,1,0,1,8,32,10,199,377,254,11,960,8,1280,513,8481559,,67.6,67.6
David Pastrnak,29,BOS,RW,"$11,250,000",,,,82,70,16,3.57,0.05,19.62,36,47,83,10,17,27,0,0,0,90,23,29,1,2,263,3,1161,5,1474,519,8477956,,70,70
Mitch Marner,28,VGK,RW,"$12,000,000",,,,78,68,15.73,3.15,1.94,20.81,21,59,80,5,21,26,1,1,2,45,41,16,29,12,136,15,636,41,948,385,8478483,,68.5,68.5
Kirill Kaprizov,28,MIN,LW,"$9,000,000",,,,77,67,17.83,3.65,0.02,21.49,36,43,79,14,17,31,0,0,0,28,33,22,0,1,218,3,897,15,1218,461,8478864,,66.7,66.7
Artemi Panarin,34,NYR,LW,"$11,642,857",,,,79,68,16.65,3.23,0.01,19.89,27,51,78,7,21,28,0,0,0,17,11,18,0,1,188,-3,625,44,945,402,8478550,,68.4,68.4
Jason Robertson,26,DAL,"LW,RW","$7,750,000",,,,82,72,15.58,3.1,0,18.68,31,46,77,10,18,28,0,0,0,52,35,15,2,4,214,9,810,20,1123,451,8480027,,72,72
William Nylander,29,TOR,"C,RW","$11,500,000",,,,82,71,16.27,3.03,0.2,19.5,31,46,77,7,16,23,0,0,0,17,26,18,72,62,201,4,640,38,952,431,8477939,,71,71
Auston Matthews,28,TOR,C,"$13,250,000",,,,78,68,16.78,2.98,1.35,21.11,42,34,76,11,11,22,1,0,1,59,97,15,662,478,268,14,1009,6,1389,648,8479318,,67.5,67.5
Cale Makar,27,COL,D,"$9,000,000",,,,79,68,18.68,4.02,2.16,24.85,20,55,75,6,23,29,1,0,1,45,105,21,0,0,197,25,1178,3,1279,459,8480069,,68.4,68.4
Jack Eichel,29,VGK,C,"$10,000,000",,,,77,68,15.65,3.06,1.44,20.15,29,44,73,5,18,23,1,1,2,30,54,9,553,554,221,15,591,49,972,526,8478403,,67.6,67.6
Mikko Rantanen,29,DAL,"LW,RW","$12,000,000",,,,78,68,17.28,3.79,0.02,21.1,30,43,73,9,17,26,0,0,0,58,41,51,66,66,179,8,951,9,1264,439,8478420,,68.5,68.5
Clayton Keller,27,UTA,"LW,RW","$7,150,000",,,,80,69,15.46,3.46,0.07,18.98,26,45,71,6,20,26,0,0,0,11,26,23,10,8,174,2,538,56,851,383,8479343,,69.3,69.3
Macklin Celebrini,19,SJS,C,"$975,000",,,,80,70,17.05,3.38,0.17,20.6,32,39,71,12,13,25,0,0,0,44,52,25,573,615,239,-16,783,24,1163,538,8484801,,70.2,70.2
Sebastian Aho (F),28,CAR,C,"$9,750,000",,,,78,69,14.57,3.42,1.8,19.79,30,43,73,7,15,22,2,1,3,73,26,30,556,535,176,12,646,36,1026,497,8478427,,69.4,69.4
Sidney Crosby,38,PIT,C,"$8,700,000",,,,79,68,16.46,2.95,0.06,19.47,28,43,71,9,11,20,0,0,0,65,34,31,752,620,172,1,590,50,970,521,8471675,,68.4,68.4
Jesper Bratt,27,NJD,"LW,RW","$7,875,000",,,,81,71,13.8,2.89,1.26,17.95,22,48,70,6,20,26,1,1,2,75,32,14,1,2,155,8,547,54,860,376,8479407,,71.1,71.1
Quinn Hughes,26,VAN,D,"$7,850,000",,,,76,66,21.62,3.93,0.3,25.85,13,58,71,4,27,31,0,0,0,14,59,23,0,0,166,10,863,18,963,385,8480800,,69,65.8
Matt Boldy,24,MIN,"LW,RW","$7,000,000",,,,82,71,16.29,3.58,0.48,20.36,31,38,69,10,14,24,0,0,0,44,45,37,47,48,238,-1,873,16,1185,466,8481557,,71,71
Dylan Larkin,29,DET,C,"$8,700,000",,,,80,70,15.36,3.16,1.23,19.76,30,39,69,14,13,27,1,0,1,40,31,33,655,597,196,5,667,34,1047,523,8477946,,70.2,70.2
Filip Forsberg,31,NSH,LW,"$8,500,000",,,,82,71,15.14,3.19,0.02,18.35,29,39,68,7,14,21,0,0,0,145,43,28,2,18,232,-1,919,13,1240,465,8476887,,71,71
Kyle Connor,29,WPG,LW,"$7,142,857",,,,80,70,15.96,3,0.77,19.72,29,39,68,6,16,22,1,0,1,20,30,16,1,2,213,2,504,59,825,409,8478398,,70.2,70.2
Nick Suzuki,26,MTL,C,"$7,875,000",,,,82,71,16.38,3.39,0.67,20.44,25,44,69,7,16,23,0,1,1,46,52,15,626,584,146,9,425,76,805,465,8480018,,71,71
Wyatt Johnston,22,DAL,"C,RW","$8,400,000",,,,82,72,15.23,3.02,1.39,19.63,33,35,68,12,11,23,1,1,2,41,49,19,430,379,193,2,619,45,932,481,8482740,,72,72
Martin Necas,27,COL,RW,"$6,500,000",,,,78,68,15.59,3.64,0.08,19.31,26,42,68,8,16,24,0,0,0,58,24,26,37,40,174,11,579,51,891,396,8480039,,67.5,67.5
Brandon Hagel,27,TBL,"LW,RW","$6,500,000",,,,82,72,15.73,2.24,2.07,20.03,28,38,66,3,7,10,2,1,3,56,51,51,8,28,170,15,633,42,945,392,8479542,,72,72
Connor Bedard,20,CHI,"C,RW","$950,000",,,,82,72,18.25,2.94,0.05,21.24,25,41,66,8,15,23,0,0,0,47,35,50,202,346,197,-20,779,26,1092,419,8484144,,72,72
Jake Guentzel,31,TBL,LW,"$9,000,000",,,,77,68,15.71,3.4,0.69,19.79,32,36,68,8,12,20,0,1,1,26,43,23,95,121,191,12,546,55,866,417,8477404,,67.6,67.6
Tim Stutzle,24,OTT,"C,LW","$8,350,000",,,,82,71,15.74,3.5,0.46,19.69,23,44,67,4,20,24,0,0,0,101,39,29,330,202,158,-2,667,33,988,445,8482116,,71,71
Brayden Point,29,TBL,C,"$9,500,000",,,,77,68,15.73,3.44,0.03,19.19,31,35,66,11,12,23,0,0,0,19,37,9,340,436,158,0,279,112,659,399,8478010,,67.6,67.6
Mark Scheifele,32,WPG,C,"$8,500,000",,,,80,70,16.22,2.97,0.28,19.46,31,34,65,8,10,18,0,0,0,44,40,40,497,519,147,2,472,62,853,436,8476460,,70.2,70.2
Nico Hischier,27,NJD,C,"$7,250,000",,,,77,68,14.77,2.98,2.03,19.78,28,37,65,9,11,20,1,1,2,28,57,12,794,638,166,9,334,97,714,507,8480002,,67.6,67.6
Robert Thomas,26,STL,C,"$8,125,000",,,,80,70,15.24,2.6,1.43,19.26,17,47,64,4,15,19,1,0,1,17,43,25,646,579,115,8,191,133,571,413,8480023,,70,70.2
J.T. Miller,32,NYR,"C,RW","$8,000,000",,,,77,67,14.98,3.04,1.16,19.18,22,42,64,5,17,22,1,1,2,158,46,41,625,439,136,-1,781,25,1094,489,8476468,,66.7,66.7
Lucas Raymond,23,DET,RW,"$8,075,000",,,,82,72,14.5,3.09,0.52,18.1,23,41,64,7,18,25,0,0,0,36,28,16,7,3,140,-1,337,94,649,337,8482078,,72,72
Nick Schmaltz,29,UTA,"C,RW","$5,850,000",,,,82,71,14.61,3.27,0.59,18.47,25,38,63,10,11,21,0,1,1,15,40,15,132,191,160,3,306,105,618,364,8477951,,71,71
Sam Reinhart,30,FLA,"C,RW","$8,625,000",,,,80,69,15.39,3.42,1.53,20.33,32,31,63,12,11,23,1,2,3,83,52,16,172,253,176,6,574,52,887,415,8477933,,69.3,69.3
Zach Werenski,28,CBJ,D,"$9,583,333",,,,80,70,21.78,2.76,1.52,26.06,16,46,62,3,16,19,0,1,1,33,120,20,0,0,228,4,916,14,1017,437,8478460,,70.2,70.2
Adam Fox,27,NYR,D,"$9,500,000",,,,78,68,19,3.14,1.74,23.88,12,50,62,3,23,26,0,1,1,35,108,29,0,0,126,1,808,23,909,348,8479323,,67.5,67.5
Kevin Fiala,29,LAK,LW,"$7,875,000",,,,81,70,15.14,2.93,0.02,18.09,27,34,61,9,14,23,0,0,0,53,22,35,5,26,198,4,560,53,881,395,8477942,,70.1,70.1
Mathew Barzal,28,NYI,"C,RW","$9,150,000",,,,78,69,17.06,3.05,0.04,20.16,19,44,63,4,15,19,0,0,0,41,55,23,180,343,161,10,422,77,734,372,8478445,,69.4,69.4
Dylan Strome,28,WSH,C,"$5,000,000",,,,82,71,13.65,2.98,0.02,16.65,21,40,61,5,17,22,0,0,0,19,45,20,619,506,123,3,188,134,568,419,8478440,,71,72
John Tavares,35,TOR,C,"$4,388,420",,,,76,66,14.78,2.76,0.02,17.56,28,32,60,9,10,19,0,0,0,71,35,25,606,451,173,3,380,82,761,479,8475166,,65.8,65.8
Seth Jarvis,23,CAR,"C,LW,RW","$7,420,087",,,,77,69,14.19,3.4,1.8,19.39,32,29,61,8,9,17,2,1,3,75,45,14,62,84,190,12,442,70,754,403,8482093,,68.5,68.5
Tage Thompson,28,BUF,"C,RW","$7,142,857",,,,75,66,15.44,2.94,0.24,18.62,31,30,61,9,9,18,0,0,0,88,31,32,225,253,216,-2,631,43,944,450,8479420,,65.9,65.9
Travis Konecny,28,PHI,"LW,RW","$8,750,000",,,,82,73,15.61,2.69,1.38,19.67,23,38,61,5,8,13,2,1,3,94,41,50,34,55,179,-1,638,40,951,390,8478439,,73,73
Adrian Kempe,29,LAK,RW,"$5,500,000",,,,80,69,15.2,2.72,1.29,19.22,28,32,60,6,11,17,1,0,1,130,35,43,37,69,207,9,755,28,1068,430,8477960,,69.3,69.3
Mika Zibanejad,32,NYR,"C,RW","$8,500,000",,,,82,71,14.54,2.96,1.9,19.4,23,36,59,10,13,23,1,2,3,58,45,17,510,442,183,-12,434,72,746,453,8476459,,71,71
Brad Marchand,37,FLA,LW,"$5,250,000",,,,79,68,13.68,3.15,1.25,18.08,24,34,58,7,14,21,1,0,1,76,29,56,3,10,175,-4,658,35,979,380,8473419,,68.4,68.4
Evan Bouchard,26,EDM,D,"$10,500,000",,,,81,70,19.24,3.37,0.52,23.13,13,46,59,5,19,24,0,0,0,36,95,25,0,0,189,10,809,22,910,395,8480803,,70.1,70.1
Alex DeBrincat,28,DET,"LW,RW","$7,875,000",,,,82,72,14.39,3.04,0.04,17.47,27,31,58,10,12,22,0,0,0,30,33,23,8,24,208,-4,426,75,739,387,8479337,,72,72
Cole Caufield,25,MTL,"LW,RW","$7,850,000",,,,82,71,15.28,3.1,0.01,18.38,32,25,57,9,8,17,0,0,0,67,26,11,2,16,206,4,318,102,631,386,8481540,,71,71
Jordan Kyrou,27,STL,RW,"$8,125,000",,,,82,72,14.96,2.43,0.01,17.39,26,32,58,7,10,17,0,0,0,30,32,15,2,9,188,0,248,117,560,360,8479385,,72,72
Roman Josi,35,NSH,D,"$9,059,000",,,,77,64,19.26,3.47,1.28,24,14,45,59,5,19,24,0,1,1,41,115,26,0,0,180,-5,872,17,973,390,8474600,,64,66.7
Alex Tuch,29,BUF,RW,"$4,750,000",,,,81,71,14.41,2.26,2.18,18.84,26,31,57,4,7,11,3,0,3,45,83,42,45,47,173,1,516,57,828,382,8477949,,71.1,71.1
Dylan Guenther,22,UTA,RW,"$7,142,875",,,,76,66,13.42,3.45,0.48,17.35,27,29,56,12,12,24,0,1,1,61,37,23,20,24,193,0,465,63,777,386,8482699,,65.8,65.8
Elias Pettersson (F),27,VAN,"C,LW","$11,600,000",,,,78,68,14.3,3.31,0.87,18.48,21,37,58,6,12,18,1,0,1,80,79,12,489,607,136,7,345,92,665,404,8480012,,67.5,67.5
