Player Name,Team,Age,Positions,FP,FP/GP,GS,W,L,OTL,SHO,SA,GA,SV,GAA,SV%
Fantasy Point Value,,,,,,,3,,,2,,-3,0.5,,
Connor Hellebuyck,WPG,32,G,439.5,8.23,53,31.1,15.7,6.7,4.6,1580.8,129.5,1451.3,2.42,0.918
Andrei Vasilevskiy,T.B,31,G,407.5,7.63,53,32.8,13.9,6.7,4.1,1553.1,135.9,1417.2,2.54,0.912
Jake Oettinger,DAL,26,G,381.1,7.14,53,31.5,15.2,6.7,3.6,1550.4,141.7,1408.7,2.65,0.909
Igor Shesterkin,NYR,29,G,373.5,7.09,53,28.2,17.9,6.6,3.7,1534.8,138.8,1396.0,2.63,0.910
Juuse Saros,NSH,30,G,349.7,6.64,53,23.0,23.1,6.6,2.6,1618.4,152.5,1466.0,2.89,0.906
Karel Vejmelka,UTA,29,G,343.2,6.51,53,27.9,18.2,6.6,3.3,1513.3,143.9,1369.4,2.73,0.905
MacKenzie Blackwood,COL,28,G,343.0,6.97,49,30.8,12.2,6.1,3.6,1377.9,127.3,1250.6,2.59,0.908
Ilya Sorokin,NYI,30,G,342.6,6.90,50,23.3,20.1,6.2,2.9,1497.2,137.7,1359.5,2.77,0.908
Filip Gustavsson,MIN,27,G,340.7,7.06,48,25.7,16.6,6.0,3.2,1418.5,129.1,1289.4,2.67,0.909
Lukas Dostal,ANA,25,G,332.5,6.70,50,22.2,21.3,6.2,2.1,1561.8,148.3,1413.5,2.99,0.905
Dustin Wolf,CGY,24,G,331.7,6.63,50,21.6,22.2,6.3,2.9,1502.4,140.0,1362.4,2.80,0.907
Joey Daccord,SEA,29,G,330.2,6.87,48,20.6,21.5,6.0,2.9,1457.3,133.1,1324.2,2.77,0.909
Sergei Bobrovsky,FLA,37,G,328.7,6.81,48,27.1,15.1,6.0,3.5,1359.9,125.6,1234.3,2.60,0.908
Sam Montembeault,MTL,28,G,323.5,6.35,51,25.5,19.1,6.4,2.5,1515.7,147.4,1368.3,2.89,0.903
Darcy Kuemper,L.A,35,G,318.7,6.98,46,24.6,15.3,5.7,3.4,1297.0,117.3,1179.7,2.57,0.910
Linus Ullmark,OTT,32,G,315.2,6.81,46,23.9,16.6,5.8,3.3,1318.0,120.6,1197.4,2.60,0.909
Adin Hill,VGK,29,G,314.1,6.79,46,28.6,11.9,5.8,3.4,1277.7,119.2,1158.4,2.58,0.907
Jordan Binnington,STL,32,G,311.8,6.40,49,25.3,17.4,6.1,3.1,1385.4,132.2,1253.1,2.71,0.905
Jeremy Swayman,BOS,26,G,306.6,6.35,48,20.2,22.0,6.0,2.4,1456.8,139.2,1317.6,2.88,0.904
Thatcher Demko,VAN,29,G,304.9,6.95,44,22.6,15.9,5.5,2.6,1319.9,122.2,1197.6,2.78,0.907
Logan Thompson,WSH,28,G,300.4,7.03,43,23.3,14.1,5.3,2.9,1246.2,113.8,1132.4,2.66,0.909
Spencer Knight,CHI,24,G,295.2,6.63,45,17.2,21.8,5.6,2.3,1370.4,127.5,1242.9,2.86,0.907
Anthony Stolarz,TOR,31,G,289.6,7.39,39,21.6,12.7,4.9,2.9,1147.5,101.3,1046.2,2.59,0.912
Stuart Skinner,EDM,26,G,285.1,6.49,44,27.2,11.2,5.5,2.8,1230.4,119.2,1111.2,2.72,0.903
Jacob Markstrom,N.J,35,G,284.5,6.39,45,25.1,13.9,5.6,2.7,1262.2,122.1,1140.1,2.74,0.903
Ukko-Pekka Luukkonen,BUF,26,G,269.0,6.04,45,22.6,16.4,5.6,1.7,1344.1,135.5,1208.6,3.04,0.899
Frederik Andersen,CAR,36,G,260.7,6.88,38,23.0,10.2,4.7,2.5,1081.9,101.2,980.7,2.67,0.906
Jet Greaves,CBJ,24,G,253.7,7.03,36,17.7,13.9,4.5,2.1,1096.1,100.5,995.7,2.78,0.908
John Gibson,DET,32,G,229.7,6.14,37,18.2,14.5,4.7,1.9,1095.7,107.6,988.1,2.88,0.902
Cam Talbot,DET,38,G,215.3,6.37,34,16.4,13.3,4.2,1.9,991.3,95.2,896.1,2.81,0.904
Joseph Woll,TOR,27,G,213.8,6.67,32,17.1,10.9,4.0,1.9,938.8,88.8,850.0,2.77,0.905
Pyotr Kochetkov,CAR,26,G,202.8,6.24,32,19.3,9.1,4.1,1.8,927.4,92.1,835.3,2.84,0.901
