Player Name,Team,Age,Positions,FP,FP/GP,GP,TOI,PP TOI,G,A,P,SOG,PPG,PPP,BLK,HIT,plus_minus,GWG,FOW,FOL,FO%,Extra,Extra
Nathan MacKinnon,COL,30,C,495.6,7.51,66,21.7,4.5,34.7,64.9,99.7,279.8,10.5,35.1,43.2,39.6,13.2,6.1,584.2,618.6,49%,,
Nikita Kucherov,T.B,32,RW,468.7,7.00,67,21.1,4.3,33.1,67.5,100.7,228.4,9.5,39.4,26.2,24.3,7.8,5.6,0.8,1.0,0%,,
Connor McDavid,EDM,28,C,466.9,7.07,66,23.1,3.8,27.6,75.3,102.8,215.2,9.0,38.5,24.5,42.5,8.2,4.1,378.8,397.6,49%,,
Jack Eichel,VGK,29,C,444.3,6.53,68,20.7,4.1,29.3,56.7,86.1,250.9,7.3,36.8,47.6,27.5,8.8,4.9,504.3,587.4,46%,,
Auston Matthews,TOR,28,C,440.4,6.67,66,22.0,3.2,40.6,36.8,77.4,276.2,10.3,21.9,96.2,52.9,4.7,5.7,679.8,538.7,56%,,
Cale Makar,COL,27,D,418.4,6.34,66,26.1,4.4,20.9,55.5,76.5,194.8,7.7,33.5,116.1,49.5,10.4,3.7,0.0,0.0,0%,,
Leon Draisaitl,EDM,30,"C,LW",418.2,6.34,66,21.8,3.8,41.6,48.3,89.9,200.2,18.5,35.8,25.5,29.6,7.9,6.2,626.4,497.1,56%,,
Kirill Kaprizov,MIN,28,LW,416.7,6.41,65,22.7,4.0,39.0,46.5,85.5,228.9,13.2,30.5,30.3,33.2,2.1,5.8,0.0,3.1,1%,,
Jack Hughes,N.J,24,"C,LW",404.4,6.04,67,21.0,3.5,31.6,45.3,76.9,256.5,7.5,28.6,34.0,14.2,4.7,5.1,212.3,360.3,37%,,
David Pastrnak,BOS,29,RW,399.6,6.15,65,19.5,3.9,33.1,46.7,79.8,251.7,9.3,25.1,18.6,61.0,-2.3,4.6,2.6,5.6,31%,,
Quinn Hughes,VAN,26,D,388.7,5.98,65,26.9,4.7,14.3,61.0,75.3,185.9,4.7,34.0,71.8,22.9,2.1,2.1,0.0,0.0,2%,,
Mikko Rantanen,DAL,29,"LW,RW",388.4,5.88,66,22.1,4.5,30.7,49.1,79.8,195.9,11.7,31.5,38.9,47.1,5.6,5.0,126.5,115.3,52%,,
Jason Robertson,DAL,26,"LW,RW",382.3,5.79,66,21.0,4.2,28.5,45.9,74.5,225.1,9.9,27.5,37.8,52.0,7.3,4.6,1.4,6.4,18%,,
Zach Werenski,CBJ,28,D,379.7,5.58,68,26.1,3.3,16.1,46.6,62.6,231.3,4.2,20.9,110.5,30.7,2.7,2.3,0.0,0.0,0%,,
Mitch Marner,VGK,28,RW,378.4,5.57,68,20.5,4.3,23.9,61.4,85.3,146.7,7.8,31.8,34.7,43.9,7.7,4.0,9.4,23.7,29%,,
