Player Name,Age,Team,Positions,Salary,TOI Org ES,TOI Org PP,TOI Org PK,GP Org,GP,TOI ES,TOI PP,TOI PK,Total TOI,Goals,Assists,Points,PPG,PPA,PP Points,SHG,SHA,SHP,Hits,BLK,PIM,FOW,FOL,SOG,"""+/-""",VOR,Rank,Unadj VOR,FP,PlayerId,Fantasy Team,Injured GP,
Nathan MacKinnon,30,COL,C,"$12,600,000",,,,80,61,17.15,4.20,0.05,21.39,33,57,90,10,19,29,0,0,0,49,44,28,610,623,245,28,2084,1,2266,617,8477492,,61.5,61.5
Brady Tkachuk,26,OTT,"C,LW","$8,205,714",,,,75,58,14.59,3.31,0.03,17.93,25,26,51,10,8,18,0,0,0,187,24,77,149,119,220,7,1763,2,1701,471,8480801,,60.0,57.6
Leon Draisaitl,30,EDM,"C,LW","$14,000,000",,,,78,59,17.86,3.20,0.59,21.64,31,46,77,13,15,28,0,1,1,32,23,24,505,396,156,19,1645,3,1583,485,8477934,,59.0,59.0
David Pastrnak,29,BOS,RW,"$11,250,000",,,,82,62,15.92,3.73,0.05,19.70,32,43,75,10,17,27,0,0,0,83,20,28,1,1,231,3,1516,5,1527,467,8477956,,62.0,62.0
Connor McDavid,29,EDM,C,"$12,500,000",,,,77,58,18.73,3.18,0.62,22.54,27,61,88,8,24,32,0,1,1,30,23,21,301,327,178,16,1522,4,1703,480,8478402,,58.2,58.2
Nikita Kucherov,32,TBL,RW,"$9,500,000",,,,78,61,16.69,3.98,0.01,20.68,27,57,84,7,26,33,0,0,0,22,24,21,0,0,189,12,1449,7,1460,437,8476453,,60.9,60.9
Auston Matthews,28,TOR,C,"$13,250,000",,,,78,60,16.16,3.01,1.50,20.66,35,29,64,9,10,19,1,0,1,48,83,13,587,434,232,15,1456,6,1638,558,8479318,,61.0,59.9
Cale Makar,27,COL,D,"$9,000,000",,,,79,61,18.69,4.13,2.30,25.12,17,51,68,5,22,27,1,0,1,35,99,18,0,0,174,23,1393,9,1289,411,8480069,,60.7,60.7
Mikko Rantanen,29,DAL,"LW,RW","$12,000,000",,,,78,60,16.93,3.98,0.01,20.93,27,40,67,9,19,28,0,0,0,45,39,42,61,60,163,4,1418,8,1356,401,8478420,,59.9,59.9
J.T. Miller,32,NYR,"C,RW","$8,000,000",,,,77,58,15.25,3.03,1.33,19.60,19,35,54,5,13,18,0,2,2,146,40,35,540,381,124,1,1346,11,1357,428,8476468,,58.2,58.2
Connor Bedard,20,CHI,"C,RW","$950,000",,,,82,64,18.02,2.96,0.05,21.03,27,38,65,9,13,22,0,0,0,28,33,44,256,314,184,-12,1360,10,1371,418,8484144,,64.0,64.0
Filip Forsberg,31,NSH,LW,"$8,500,000",,,,82,62,15.60,3.08,0.02,18.70,26,34,60,6,12,18,0,0,0,127,39,28,6,17,206,-2,1285,13,1223,414,8476887,,62.0,62.0
Jason Robertson,26,DAL,"LW,RW","$7,750,000",,,,82,63,15.64,3.43,0.01,19.07,30,43,73,10,18,28,0,0,0,47,33,11,1,4,204,11,1312,12,1250,429,8480027,,63.0,63.0
Sidney Crosby,38,PIT,C,"$8,700,000",,,,79,61,16.64,2.94,0.06,19.64,25,38,63,9,9,18,0,0,0,54,32,30,674,582,156,-1,1236,16,1418,464,8471675,,60.7,60.7
Kirill Kaprizov,28,MIN,LW,"$9,000,000",,,,77,58,17.78,3.94,0.01,21.73,31,39,70,12,15,27,0,0,0,26,28,19,0,3,194,5,1226,19,1164,408,8478864,,58.2,58.2
Tom Wilson,31,WSH,RW,"$6,500,000",,,,78,61,14.18,2.82,1.73,18.74,23,22,45,8,5,13,1,1,2,171,51,80,12,17,132,5,1280,14,1291,355,8476880,,60.9,60.9
Dylan Larkin,29,DET,C,"$8,700,000",,,,80,61,15.20,3.33,1.35,19.88,28,33,61,11,11,22,1,0,1,27,27,27,649,517,177,5,1202,20,1384,481,8477946,,61.5,61.5
Macklin Celebrini,19,SJS,C,"$975,000",,,,80,61,16.97,3.38,0.18,20.53,27,36,63,8,14,22,0,0,0,38,49,24,474,486,204,-11,1259,15,1441,469,8484801,,61.5,61.5
Matt Boldy,24,MIN,"LW,RW","$7,000,000",,,,82,62,15.66,3.86,0.72,20.25,27,33,60,9,12,21,0,0,0,41,41,29,42,53,200,2,1159,22,1097,400,8481557,,62.0,62.0
Wyatt Johnston,22,DAL,"C,RW","$8,400,000",,,,82,63,15.80,3.22,1.24,20.26,30,34,64,13,11,24,1,0,1,25,44,18,364,347,169,2,1229,17,1240,430,8482740,,63.0,63.0
Jack Eichel,29,VGK,C,"$10,000,000",,,,77,60,15.78,3.35,1.40,20.52,25,43,68,4,19,23,1,0,1,19,49,8,483,499,204,12,1177,21,1359,478,8478403,,60.1,60.1
